BP,Lake_Gölhisar ,z_score,,BP,Sofular_cave ,z_score,,BP,Eski_Acıgöl,z_score,,BP,Dim_cave,z_score,,BP,Karaca_cave,z_score,,BP,Lake_Van,z_score,,BP,Jeita_cave,z_score,,BP,Lake_Hula,z_score,,BP,Jerusalem_West_cave,z_score,,BP,Soreq_cave,z_score,,BP,KunaBa_cave,z_score,,BP,Lake_Zeribar,z_score,,BP,Lake_Mirabad,z_score,,BP,Gol_e_Zard_cave,z_score,,BP,Hoti_cave,z_score,,BP,Qunf_cave,z_score
3562,-7.03,-1.1463382419,,2315,-8.23,0.766203489,,3166,2.23,1.4153181505,,10312,-5.985,-0.1315006679,,7587,-11.539,0.1633305386,,4704,0.47,-0.368247259,,2712,-5.05,0.8656182384,,8341,-8.46,-0.4004415012,,11813,-4.94,0.3949340373,,3900,-5.23,0.9872362982,,2170,-6.33,1.1606458929,,6513,-3.4,1.1606352034,,7961,-5.36,-1.2151777091,,3980,-7.69,0.6531491289,,6136,-4.35,1.0245910665,,2813,-0.97,1.1428335893
3626,-7.29,-1.3025660512,,2325,-8.3,0.7126458298,,3246,2.77,1.7014423127,,10333,-6.147,-0.5133856794,,7744,-12.2844,-0.855417656,,4816,0.37,-0.4691210359,,2736,-4.89,1.181087194,,8664,-8.33,-0.1046608469,,11901,-5.14,0.1351723075,,3920,-5.35,0.7181259494,,2173,-6.36,1.0726013777,,6817,-4.79,0.0699519779,,8402,-4.82,-0.5734793752,,3990,-7.64,0.7854209497,,6142,-4.15,1.4165085725,,2819,-1.04,0.9887961806
3689,-5.64,-0.3111203382,,2336,-8.25,0.7509013006,,3258,2.66,1.6431577612,,10354,-6.209,-0.6595392023,,7901,-11.0297,0.8593976912,,4928,-0.23,-1.0743636971,,2760,-5.11,0.74731738,,8949,-8.55,-0.6052127235,,12113,-4.39,1.1092787942,,3940,-5.31,0.807829399,,2176,-6.38,1.0139050343,,6859,-5.98,-0.8637984095,,8650,-4.69,-0.418996443,,4000,-7.5,1.1557820479,,6148,-4.33,1.0637828171,,2824,-1.18,0.6807213633
3721,-4.87,0.1515543278,,2346,-8.26,0.7432502065,,3338,3.3,1.9822678793,,10375,-6.151,-0.5228149389,,8058,-11.543,0.1578636849,,5040,-0.3,-1.1449753409,,2785,-4.89,1.181087194,,9272,-8.64,-0.8099839457,,12769,-4.49,0.9793979293,,3960,-5.37,0.6732742246,,2179,-6.38,1.0139050343,,7041,-6.53,-1.2953637145,,8870,-5.06,-0.8586786347,,4010,-7.39,1.4467800536,,6154,-4.03,1.6516590761,,2830,-1.15,0.7467373956
3817,-3.16,1.1790526122,,2356,-8.19,0.7968078656,,3441,3.27,1.9663720925,,10396,-5.747,0.4295402749,,8215,-11.8874,-0.3128324222,,5152,-0.57,-1.4173345385,,2809,-5.1,0.7670341897,,9576,-8.74,-1.0375075259,,13463,-3.4,2.3950993567,,3980,-5.25,0.9423845734,,2182,-6.39,0.9845568625,,7172,-6.48,-1.256130505,,8925,-4.75,-0.4902962578,,4020,-7.31,1.6584149669,,6160,-4.05,1.6124673255,,2835,-1.11,0.834758772
3944,-2.26,1.719841183,,2367,-8.12,0.8503655247,,3538,2.61,1.6166647832,,10417,-5.825,0.2456697138,,8529,-11.8904,-0.3169325625,,5264,-0.13,-0.9734899202,,2815,-4.96,1.0430695259,,9880,-8.61,-0.7417268716,,14127,-3.25,2.589920654,,4015,-5.34,0.7405518118,,2185,-6.42,0.8965123473,,7609,-6.3,-1.1148909506,,9338,-3.53,0.9594666446,,4030,-7.28,1.7377780593,,6166,-3.85,2.0043848315,,2840,-1.02,1.0328068688
4071,-1.31,2.2906735632,,2377,-8.12,0.8503655247,,3629,2.01,1.2987490474,,10438,-6.166,-0.5581746622,,8686,-11.546,0.1537635446,,5376,-0.43,-1.2761112509,,2821,-5,0.964202287,,10157,-8.67,-0.8782410198,,14695,-3.17,,,4030,-5.36,0.695700087,,2188,-6.46,0.7791196604,,8028,-6.67,-1.4052167013,,,,,,4040,-7.25,1.8171411518,,6171,-4.12,1.4752961984,,2846,-0.97,1.1428335893
4198,-1.42,2.2245771823,,2387,-8.1,0.865667713,,3704,0.91,0.7159035318,,10459,-5.921,0.0193674848,,8829,-11.192,0.6375801007,,5488,-0.13,-0.9734899202,,2827,-4.93,1.1022199551,,10469,-8.71,-0.9692504519,,,,,,4045,-5.36,0.695700087,,2191,-6.48,0.7204233169,,8149,-6.01,-0.8873383352,,,,,,4050,-7.28,1.7377780593,,6177,-4.82,0.1035849274,,2851,-0.72,1.6929671916
4326,-1.52,2.1644895633,,2398,-8.06,0.8962720896,,3761,0.74,0.6258274067,,10480,-5.971,-0.0984982595,,8917,-11.7825,-0.1694641829,,5600,-0.13,-0.9734899202,,2832,-5.04,0.8853350481,,11058,-8.94,-1.4925546864,,,,,,4060,-5.47,0.4490156006,,2194,-6.43,0.8671641756,,8322,-7.18,-1.8053954387,,,,,,4060,-7.31,1.6584149669,,6183,-4.87,0.0056055509,,2857,-0.84,1.4289030625
4453,-2.49,1.5816396593,,2408,-8,0.9421786546,,3852,0.76,0.6364245979,,10501,-6.431,-1.1828631069,,9031,-11.5077,0.2061086692,,5712,0.27,-0.5699948128,,2838,-5.04,0.8853350481,,11381,-8.93,-1.4698023284,,,,,,4075,-5.49,0.4041638758,,2197,-6.34,1.1312977212,,8380,-7.15,-1.781855513,,,,,,4070,-7.26,1.7906867877,,6189,-4.64,0.4563106828,,2862,-0.54,2.0890633852
